Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,66,32,New Mexico,,35.40%,32.30%,,"512,805","1,449,503","1,586,442",7.50%,"6,879","16,060","2,255","18,128",
2014,13,33,New York,29.00%,28.20%,24.60%,"3,930,310","3,819,010","13,553,426","15,544,111",12.20%,"48,376",0,"44,889","93,265",
2014,47,34,North Carolina,41.20%,40.80%,37.90%,"2,939,767","2,915,281","7,143,737","7,693,406",5.90%,"35,726","90,918","10,025","96,665",
2014,36,35,North Dakota,45.00%,43.80%,42.70%,"255,128","248,670","567,221","582,205",2.30%,"1,700",0,0,"1,700",
2014,24,36,Ohio,36.20%,35.10%,34.10%,"3,149,876","3,055,913","8,701,243","8,969,074",2.40%,"51,024",0,0,"51,024",
2014,53,37,Oklahoma,30.00%,29.90%,28.10%,"825,607","824,831","2,755,091","2,940,437",4.70%,"27,650","28,568","2,560","46,208",
2014,72,38,Oregon,53.40%,50.90%,47.20%,"1,541,782","1,469,717","2,887,517","3,115,883",6.80%,"15,075",0,0,"15,075",
2014,14,39,Pennsylvania,36.50%,36.10%,34.60%,"3,535,576","3,495,866","9,689,491","10,100,271",3.60%,"49,643",0,0,"49,643",
2014,5,40,Rhode Island,42.40%,41.70%,38.50%,"329,212","324,055","776,286","842,605",7.50%,"3,294",0,0,"3,294",
2014,48,41,South Carolina,35.20%,34.80%,33.10%,"1,261,611","1,246,301","3,584,461","3,760,480",3.50%,"20,917","35,096","5,225","45,796",
2014,37,42,South Dakota,44.70%,44.30%,43.10%,"282,291","279,412","630,989","647,810",1.60%,"3,528",0,"2,611","6,139",
2014,54,43,Tennessee,29.80%,28.60%,27.20%,"1,430,117","1,374,065","4,799,476","5,060,636",3.60%,"28,495","62,950","13,498","77,245",
2014,49,44,Texas,,28.30%,23.80%,,"4,727,208","16,675,420","19,847,831",13.50%,"157,361","388,101","111,412","486,110",
2014,67,45,Utah,30.30%,29.70%,27.50%,"577,973","565,970","1,905,801","2,054,936",6.90%,"6,824",0,0,"6,824",
2014,6,46,Vermont,40.80%,38.90%,38.10%,"202,445","193,087","495,884","507,304",2.30%,0,0,0,0,
2014,40,47,Virginia,36.80%,36.60%,33.70%,"2,194,346","2,184,473","5,962,456","6,489,957",7.10%,"36,943","54,966","1,732","69,456",
2014,73,48,Washington,43.10%,41.20%,37.10%,"2,123,901","2,029,189","4,928,407","5,467,270",8.40%,"17,345","94,112","9,880","79,928",
2014,56,49,West Virginia,32.00%,31.20%,30.70%,"462,864","451,498","1,447,652","1,472,594",0.80%,"6,873","7,174","2,749","13,639",
2014,25,50,Wisconsin,56.90%,56.60%,53.90%,"2,422,248","2,410,314","4,260,427","4,470,265",3.20%,"22,097","46,212","20,010","67,986",
2014,68,51,Wyoming,39.70%,39.00%,37.30%,"171,153","168,390","431,434","451,484",3.10%,"2,330","5,196",715,"5,955",
2012,0,0,United States,58.60%,58.00%,53.60%,"130,292,355","129,070,906","222,474,111","240,957,993",8.40%,"1,473,412","2,342,582","637,410","3,352,390","5,127,418"
2012,41,1,Alabama,,58.60%,56.00%,,"2,074,338","3,539,217","3,707,440",2.60%,"32,232","57,993","8,616","71,584",
2012,81,2,Alaska,58.90%,58.70%,55.30%,"301,694","300,495","511,792","543,763",3.80%,"5,633","7,173","1,882","11,317",
2012,61,3,Arizona,53.00%,52.60%,46.50%,"2,323,579","2,306,559","4,387,900","4,959,270",9.90%,"35,188","72,452","7,460","81,048",
2012,42,4,Arkansas,51.10%,50.70%,47.70%,"1,078,548","1,069,468","2,109,847","2,242,740",3.50%,"14,471","30,122","23,372","53,808",
2012,71,5,California,55.70%,55.10%,45.10%,"13,202,158","13,038,547","23,681,837","28,913,129",17.40%,"119,455",0,"89,287","208,742",
2012,62,6,Colorado,70.60%,69.90%,64.50%,"2,596,173","2,569,522","3,675,871","3,981,208",6.90%,"18,807",0,"11,458","30,265",
2012,1,7,Connecticut,61.40%,61.30%,55.60%,"1,560,640","1,558,960","2,543,202","2,801,375",8.50%,"16,935",0,"2,793","19,728",
2012,11,8,Delaware,,62.30%,57.80%,,"413,921","663,967","715,708",5.10%,"6,610","15,641",601,"15,501",
2012,55,9,District of Columbia,61.60%,61.50%,55.50%,"294,254","293,764","477,582","528,848",9.70%,0,0,0,0,
2012,43,10,Florida,63.30%,62.80%,55.10%,"8,538,264","8,474,179","13,495,057","15,380,947",10.80%,"91,954","240,869","4,538","224,153",
2012,44,11,Georgia,59.30%,59.00%,52.30%,"3,919,355","3,900,050","6,606,607","7,452,696",7.20%,"52,737","442,061","24,761","311,790",
2012,82,12,Hawaii,44.50%,44.20%,39.90%,"437,159","434,697","982,902","1,088,335",9.20%,"5,544",0,0,"5,544",
2012,63,13,Idaho,61.00%,59.80%,55.60%,"666,290","652,274","1,091,410","1,173,727",4.60%,"7,985","31,606","3,848","28,584",
2012,21,14,Illinois,59.30%,58.90%,53.30%,"5,279,752","5,242,014","8,899,143","9,827,043",8.90%,"49,348",0,0,"49,348",
2012,22,15,Indiana,56.00%,55.20%,52.90%,"2,663,368","2,624,534","4,755,291","4,960,376",3.60%,"28,266",0,0,"28,266",
2012,31,16,Iowa,70.60%,70.30%,67.10%,"1,589,951","1,582,180","2,251,748","2,356,209",3.20%,"8,470","29,333","5,151","29,167",
2012,32,17,Kansas,58.20%,56.90%,53.50%,"1,182,771","1,156,254","2,030,686","2,162,442",5.00%,"9,346","17,021","5,126","23,493",
2012,51,18,Kentucky,56.20%,55.70%,53.40%,"1,815,843","1,797,212","3,229,185","3,368,684",2.20%,"21,863","54,511","14,419","65,173",
2012,45,19,Louisiana,60.80%,60.20%,57.00%,"2,014,548","1,994,065","3,311,626","3,495,847",2.70%,"40,047","41,298","28,946","90,881",
2012,2,20,Maine,69.30%,68.20%,67.00%,"724,758","713,180","1,046,008","1,064,779",1.80%,0,0,0,0,
2012,52,21,Maryland,67.30%,66.60%,59.50%,"2,734,062","2,707,327","4,063,582","4,553,853",8.90%,"20,871","96,640","13,195","85,285",
2012,3,22,Massachusetts,66.20%,65.90%,60.20%,"3,184,196","3,167,767","4,809,675","5,263,550",8.40%,"10,283",0,0,"10,283",
2012,23,23,Michigan,65.40%,64.70%,62.00%,"4,780,701","4,730,961","7,312,725","7,625,576",3.50%,"43,019",0,0,"43,019",
2012,33,24,Minnesota,76.40%,76.00%,71.40%,"2,950,780","2,936,561","3,861,598","4,114,820",4.40%,"9,383","108,157","6,006","72,712",
2012,46,25,Mississippi,,59.30%,57.20%,,"1,285,584","2,166,825","2,246,931",1.50%,"22,305","30,768","6,804","45,416",
2012,34,26,Missouri,,62.20%,59.60%,,"2,757,323","4,432,957","4,628,500",2.50%,"30,714","55,470","20,672","80,785",
2012,64,27,Montana,63.50%,62.50%,61.60%,"491,966","484,048","774,476","785,454",0.90%,"3,592",0,0,"3,592",
2012,35,28,Nebraska,61.10%,60.30%,56.90%,"804,245","794,379","1,316,915","1,396,507",4.70%,"4,466","14,260","1,383","13,407",
2012,65,29,Nevada,56.50%,56.40%,48.20%,"1,016,664","1,014,918","1,800,969","2,105,976",13.30%,"12,883","11,321","5,379","24,262",
2012,4,30,New Hampshire,70.90%,70.20%,67.80%,"718,700","710,972","1,013,420","1,047,978",3.00%,"2,672",0,0,"2,672",
2012,12,31,New Jersey,62.20%,61.50%,53.20%,"3,683,638","3,640,292","5,918,182","6,847,503",12.10%,"21,759","114,886","14,987","97,636",
2012,66,32,New Mexico,54.80%,54.60%,49.80%,"786,522","783,757","1,436,363","1,573,400",7.30%,"6,553","21,381","5,078","22,963",
2012,13,33,New York,53.50%,53.10%,46.10%,"7,128,852","7,074,723","13,324,107","15,344,671",12.50%,"49,889",0,"46,222","96,111",
2012,47,34,North Carolina,65.40%,64.80%,60.10%,"4,542,488","4,505,372","6,947,954","7,496,980",6.10%,"35,567","96,070","4,359","90,843",
2012,36,35,North Dakota,60.40%,59.80%,58.70%,"325,564","322,627","539,164","549,955",1.70%,"1,500",0,0,"1,500",
2012,24,36,Ohio,65.10%,64.50%,62.70%,"5,632,423","5,580,822","8,649,495","8,896,930",2.20%,"50,313",0,0,"50,313",
2012,53,37,Oklahoma,,49.20%,46.30%,,"1,334,872","2,713,268","2,885,093",4.50%,"25,225","25,506","2,310","41,053",
2012,72,38,Oregon,64.20%,63.10%,58.70%,"1,820,507","1,789,270","2,836,101","3,050,747",6.60%,"13,607",0,0,"13,607",
2012,14,39,Pennsylvania,,59.50%,57.20%,,"5,742,040","9,651,432","10,037,099",3.30%,"50,054",0,0,"50,054",
2012,5,40,Rhode Island,,58.00%,53.40%,,"446,049","768,918","834,983",7.50%,"3,249",0,0,"3,249",
2012,48,41,South Carolina,56.80%,56.30%,53.60%,"1,981,516","1,964,118","3,486,838","3,662,322",3.50%,"21,895","34,945","6,116","46,532",
2012,37,42,South Dakota,60.10%,59.30%,57.60%,"368,270","363,815","613,190","631,472",1.90%,"3,574",0,"2,761","6,335",
2012,54,43,Tennessee,52.30%,51.90%,49.40%,"2,478,870","2,458,577","4,736,084","4,976,284",3.30%,"28,135","64,430","13,138","75,421",
2012,49,44,Texas,,49.60%,41.70%,,"7,993,851","16,119,973","19,185,395",13.50%,"157,564","405,473","112,288","484,753",
2012,67,45,Utah,56.10%,55.50%,51.40%,"1,028,786","1,017,440","1,833,339","1,978,956",7.00%,"6,611",0,0,"6,611",
2012,6,46,Vermont,61.20%,60.70%,59.60%,"301,793","299,290","493,355","502,242",1.80%,0,0,0,0,
2012,40,47,Virginia,66.60%,66.10%,60.70%,"3,888,186","3,854,489","5,834,676","6,348,827",7.10%,"36,425","52,956","1,983","66,475",
2012,73,48,Washington,65.80%,64.80%,58.60%,"3,172,939","3,125,516","4,822,060","5,329,782",8.20%,"16,355","88,339","8,895","72,070",
2012,56,49,West Virginia,,46.30%,45.50%,,"670,438","1,447,066","1,472,642",0.80%,"7,052","8,573","2,052","13,648",
2012,25,50,Wisconsin,,72.90%,69.50%,,"3,068,434","4,209,370","4,417,273",3.20%,"21,987","46,328","20,023","66,564",
2012,68,51,Wyoming,59.00%,58.60%,56.40%,"250,701","249,061","425,142","441,726",2.50%,"2,163","5,162",762,"5,661",
2010,0,0,United States,41.80%,41.00%,37.80%,"90,912,015","89,099,476","217,551,109","236,022,989",8.50%,"1,512,225","1,321,051","629,644","3,244,035","4,972,217"
2010,41,1,Alabama,43.30%,43.00%,40.80%,"1,503,232","1,494,273","3,472,582","3,661,784",2.80%,"31,587","50,622","9,006","86,889",
2010,81,2,Alaska,52.90%,51.90%,48.50%,"261,128","256,192","493,764","528,744",4.00%,"5,576","6,959","2,089","13,601",
2010,61,3,Arizona,41.60%,41.00%,35.90%,"1,750,840","1,727,791","4,209,544","4,807,398",10.30%,"35,368","52,316","7,993","96,443",
2010,42,4,Arkansas,37.90%,37.50%,35.30%,"789,773","781,333","2,081,156","2,216,171",3.70%,"16,047","26,995","21,106","53,752",
2010,71,5,California,45.90%,44.00%,35.80%,"10,529,134","10,095,485","22,946,053","28,167,234",17.70%,"146,412",0,"105,133","217,629",
2010,62,6,Colorado,51.70%,50.60%,46.50%,"1,828,323","1,787,730","3,533,054","3,843,619",7.30%,"21,559",0,"11,014","28,322",
2010,1,7,Connecticut,45.90%,45.90%,41.70%,"1,153,872","1,153,115","2,512,981","2,765,843",8.40%,"18,553",0,"2,894","20,768",
2010,11,8,Delaware,49.00%,47.50%,44.10%,"316,754","307,402","646,969","696,940",5.50%,"6,307","4,448",560,"11,326",
2010,55,9,District of Columbia,29.60%,28.90%,26.20%,"135,846","132,656","458,619","506,765",9.50%,0,0,0,0,
2010,43,10,Florida,42.20%,41.70%,36.30%,"5,473,787","5,411,106","12,961,184","14,916,066",11.20%,"97,944","165,760","4,093","272,113",
2010,44,11,Georgia,40.60%,39.80%,35.50%,"2,623,035","2,576,161","6,464,845","7,255,919",7.40%,"54,710","185,286","25,091","254,264",
2010,82,12,Hawaii,40.30%,39.90%,36.00%,"386,302","382,563","959,531","1,062,593",9.10%,"5,813",0,0,"5,912",
2010,63,13,Idaho,42.90%,42.30%,39.40%,"459,079","452,535","1,069,446","1,147,210",4.70%,"7,268","13,721","3,957","23,131",
2010,21,14,Illinois,43.10%,42.40%,38.30%,"3,792,770","3,729,989","8,798,829","9,735,944",9.10%,"46,314",0,0,"48,418",
2010,22,15,Indiana,38.10%,37.10%,35.60%,"1,791,832","1,744,481","4,697,111","4,896,656",3.50%,"27,481",0,0,"28,028",
2010,31,16,Iowa,50.70%,49.90%,47.90%,"1,133,429","1,116,063","2,234,516","2,328,262",3.20%,"9,276","8,862","3,197","19,916",
2010,32,17,Kansas,42.60%,41.70%,39.20%,"857,658","838,790","2,011,497","2,137,815",5.20%,"8,741","3,704","5,063","15,287",
2010,51,18,Kentucky,44.30%,42.40%,40.70%,"1,417,995","1,356,468","3,198,093","3,332,204",2.40%,"20,385","25,688","14,628","53,546",
2010,45,19,Louisiana,40.00%,38.90%,36.80%,"1,298,649","1,264,994","3,249,524","3,438,247",2.70%,"39,335","42,599","26,202","95,145",
2010,2,20,Maine,55.90%,55.20%,54.30%,"580,584","572,766","1,038,201","1,055,605",1.60%,0,0,0,0,
2010,52,21,Maryland,46.70%,46.40%,41.80%,"1,868,179","1,857,880","4,001,034","4,449,617",8.80%,"21,992","26,164","13,195","55,407",
2010,3,22,Massachusetts,49.40%,48.90%,44.60%,"2,319,963","2,297,039","4,693,670","5,152,976",8.70%,"10,429",0,0,"11,312",
2010,23,23,Michigan,45.10%,44.50%,42.70%,"3,268,217","3,226,088","7,245,281","7,555,742",3.50%,"43,499",0,0,"44,113",
2010,33,24,Minnesota,55.80%,55.40%,52.10%,"2,123,369","2,107,021","3,802,677","4,041,199",4.50%,"9,281","42,661","5,807","55,361",
2010,46,25,Mississippi,,37.00%,35.50%,,"788,549","2,129,334","2,220,094",1.80%,"21,067","26,793","6,434","51,077",
2010,34,26,Missouri,45.70%,44.50%,42.40%,"1,997,271","1,943,899","4,366,435","4,581,260",2.60%,"30,178","54,916","19,421","95,250",
2010,64,27,Montana,48.40%,47.50%,46.80%,"367,096","360,341","758,653","770,601",1.10%,"3,706",0,0,"3,716",
2010,35,28,Nebraska,38.70%,37.50%,35.50%,"503,514","487,988","1,301,483","1,375,023",4.70%,"4,324","4,080",941,"9,138",
2010,65,29,Nevada,41.40%,41.30%,35.30%,"723,515","721,404","1,747,288","2,046,400",13.50%,"12,653","8,067","4,964","23,202",
2010,4,30,New Hampshire,46.10%,45.70%,44.20%,"461,423","456,588","999,918","1,033,023",2.90%,"2,694",0,0,"2,761",
2010,12,31,New Jersey,37.70%,36.40%,31.40%,"2,200,974","2,121,584","5,834,037","6,750,869",12.20%,"25,007","57,517","15,563","90,306",
2010,66,32,New Mexico,44.70%,42.80%,38.80%,"630,013","602,827","1,408,872","1,552,212",7.70%,"6,541","14,855","3,146","23,087",
2010,13,33,New York,36.30%,35.50%,30.80%,"4,763,899","4,658,586","13,135,048","15,111,583",12.50%,"50,668",0,"48,542","80,927",
2010,47,34,North Carolina,39.80%,39.20%,36.40%,"2,700,706","2,660,079","6,785,463","7,310,093",6.10%,"38,341","36,740","3,621","78,667",
2010,36,35,North Dakota,46.60%,46.20%,45.30%,"241,039","238,812","516,974","527,497",1.70%,"1,480",0,0,"1,487",
2010,24,36,Ohio,46.20%,44.90%,43.60%,"3,956,028","3,852,453","8,571,952","8,826,908",2.30%,"51,116",0,0,"51,712",
2010,53,37,Oklahoma,39.10%,38.80%,36.40%,"1,043,507","1,034,767","2,666,767","2,839,030",4.40%,"25,893","20,601","2,627","48,167",
2010,72,38,Oregon,53.90%,52.70%,48.70%,"1,487,210","1,453,548","2,760,607","2,984,806",7.00%,"12,262",0,0,"14,014",
2010,14,39,Pennsylvania,42.40%,41.70%,40.10%,"4,055,336","3,987,551","9,565,822","9,946,290",3.30%,"50,116",0,0,"51,264",
2010,5,40,Rhode Island,45.40%,44.80%,41.20%,"346,357","342,290","763,534","829,913",7.60%,"3,357",0,0,"3,357",
2010,48,41,South Carolina,40.30%,39.70%,37.60%,"1,365,480","1,344,198","3,388,417","3,571,250",3.80%,"23,074","21,144","6,412","47,928",
2010,37,42,South Dakota,53.90%,52.90%,51.50%,"323,410","317,083","599,507","616,113",1.90%,"3,373",0,"2,843","4,856",
2010,54,43,Tennessee,35.10%,34.60%,32.80%,"1,620,619","1,601,549","4,622,919","4,878,724",3.50%,"27,213","52,178","12,157","85,708",
2010,49,44,Texas,32.70%,32.10%,26.90%,"5,066,957","4,979,870","15,514,007","18,487,369",13.50%,"164,507","247,136","104,763","473,167",
2010,67,45,Utah,36.80%,36.30%,33.60%,"653,274","643,307","1,772,934","1,914,974",7.00%,"6,536",0,0,"6,807",
2010,6,46,Vermont,49.80%,49.40%,48.50%,"243,617","241,605","488,942","498,254",1.90%,0,0,0,0,
2010,40,47,Virginia,39.10%,38.70%,35.40%,"2,214,505","2,189,841","5,660,589","6,194,717",7.10%,"36,020","56,654","2,624","95,376",
2010,73,48,Washington,54.30%,53.20%,48.40%,"2,565,589","2,511,094","4,724,350","5,190,736",8.30%,"17,331","15,452","6,956","37,165",
2010,56,49,West Virginia,37.20%,36.80%,36.10%,"536,493","529,948","1,442,003","1,468,812",0.90%,"6,673","6,650","1,796","14,229",
2010,25,50,Wisconsin,52.40%,52.00%,49.70%,"2,185,021","2,171,331","4,172,130","4,365,214",3.20%,"22,724","22,602","19,572","55,112",
2010,68,51,Wyoming,46.00%,45.50%,43.80%,"190,822","188,463","414,536","430,673",2.40%,"2,059","3,231",682,"5,684",
2008,0,0,United States,62.20%,61.60%,56.90%,"132,609,063","131,304,731","213,313,508","230,872,030",8.40%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217"
2008,41,1,Alabama,61.00%,60.80%,58.40%,"2,105,622","2,099,819","3,454,510","3,595,708",2.20%,"30,508","53,252","8,042","61,155","74,079"
2008,81,2,Alaska,68.30%,68.00%,64.30%,"327,341","326,197","479,429","507,645",3.70%,"5,014","6,708","1,732","9,234","60,686"
2008,61,3,Arizona,57.40%,56.70%,49.10%,"2,320,851","2,293,475","4,046,075","4,673,718",11.60%,"39,589","82,232","7,534","84,472","90,036"
2008,42,4,Arkansas,52.90%,52.50%,50.00%,"1,095,958","1,086,617","2,071,563","2,174,846",2.90%,"14,716","31,169","19,908","40,255","43,963"
2008,71,5,California,61.70%,60.90%,49.50%,"13,743,177","13,561,900","22,261,504","27,411,094",17.90%,"173,670",0,"120,753","234,047","486,207"
2008,62,6,Colorado,71.60%,71.00%,64.70%,"2,422,236","2,401,361","3,382,959","3,708,955",8.00%,"23,274",0,"11,654","29,101","71,854"
2008,1,7,Connecticut,,66.60%,60.40%,,"1,646,792","2,471,082","2,725,917",8.50%,"20,661",0,"2,328","21,825","45,799"
2008,11,8,Delaware,65.80%,65.60%,60.60%,"413,562","412,398","628,200","680,493",5.30%,"7,075","17,216",551,"15,959","12,658"
2008,55,9,District of Columbia,61.70%,61.50%,55.20%,"266,871","265,853","432,566","481,971",10.30%,0,0,0,0,"6,916"
2008,43,10,Florida,66.60%,66.10%,57.60%,"8,453,743","8,390,744","12,687,407","14,558,436",11.20%,"102,388","279,760","4,528","244,532","451,907"
2008,44,11,Georgia,62.70%,62.50%,55.60%,"3,940,705","3,924,440","6,281,872","7,063,638",7.30%,"52,719","397,081","23,448","262,984","141,001"
2008,82,12,Hawaii,49.00%,48.80%,43.80%,"456,064","453,568","930,067","1,036,088",9.70%,"5,955",0,0,"5,955","20,090"
2008,63,13,Idaho,64.80%,63.60%,58.60%,"667,506","655,032","1,029,416","1,117,842",4.90%,"7,290","49,513","3,361","33,727","26,779"
2008,21,14,Illinois,64.30%,63.60%,57.40%,"5,578,195","5,523,051","8,681,138","9,615,700",9.20%,"45,474",0,0,"45,474","200,530"
2008,22,15,Indiana,60.30%,59.10%,57.00%,"2,805,986","2,751,054","4,653,019","4,826,231",3.00%,"28,322",0,0,"28,322","89,605"
2008,31,16,Iowa,69.70%,69.40%,66.90%,"1,543,662","1,537,123","2,216,094","2,298,515",2.60%,"8,766","22,958","3,159","21,825","43,108"
2008,32,17,Kansas,63.50%,62.00%,58.80%,"1,264,208","1,235,872","1,991,759","2,100,084",4.20%,"8,539","16,263","4,958","19,150","42,495"
2008,51,18,Kentucky,59.00%,57.90%,55.70%,"1,858,578","1,826,508","3,152,629","3,277,617",2.20%,"21,706","51,035","12,277","53,362","58,518"
2008,45,19,Louisiana,61.80%,61.20%,58.70%,"1,979,852","1,960,761","3,205,794","3,342,279",2.00%,"38,381","40,025","24,636","70,712","68,285"
2008,2,20,Maine,71.80%,70.60%,69.60%,"744,456","731,163","1,036,242","1,049,816",1.30%,0,0,0,0,"21,362"
2008,52,21,Maryland,67.80%,67.00%,60.60%,"2,661,905","2,631,596","3,925,117","4,342,850",7.80%,"23,324","96,360","13,220","78,114","77,074"
2008,3,22,Massachusetts,67.30%,66.80%,60.90%,"3,102,995","3,080,985","4,612,550","5,058,035",8.60%,"11,408",0,0,"11,408","77,830"
2008,23,23,Michigan,69.70%,69.20%,66.40%,"5,039,080","5,001,766","7,229,512","7,528,460",3.30%,"48,738",0,0,"48,738","163,673"
2008,33,24,Minnesota,78.10%,77.80%,73.20%,"2,921,147","2,910,369","3,740,142","3,975,974",4.00%,"9,910","127,627","5,081","76,264","70,063"
2008,46,25,Mississippi,,61.00%,58.90%,,"1,289,856","2,113,347","2,190,402",1.90%,"22,754","22,267","2,922","35,349","45,082"
2008,34,26,Missouri,68.20%,67.60%,64.90%,"2,950,504","2,925,205","4,327,572","4,507,688",2.50%,"30,186","57,360","20,683","69,208","96,710"
2008,64,27,Montana,67.10%,66.30%,65.10%,"497,599","491,960","741,853","755,384",1.30%,"3,545",0,0,"3,545","22,898"
2008,35,28,Nebraska,63.70%,62.90%,59.40%,"811,923","801,281","1,274,719","1,348,048",4.30%,"4,520","19,606",846,"14,746","27,311"
2008,65,29,Nevada,57.20%,57.00%,48.40%,"970,019","967,848","1,696,831","2,000,277",14.10%,"12,743","13,337","3,908","21,366","45,656"
2008,4,30,New Hampshire,72.50%,71.70%,69.60%,"719,643","710,970","992,226","1,021,787",2.60%,"2,702",0,0,"2,702","25,558"
2008,12,31,New Jersey,67.70%,67.00%,58.20%,"3,910,220","3,868,237","5,776,527","6,651,284",11.70%,"25,953","128,737","15,849","98,246","110,559"
2008,66,32,New Mexico,61.20%,60.90%,55.10%,"833,365","830,158","1,362,629","1,505,830",8.30%,"6,402","20,883","3,724","18,706","31,444"
2008,13,33,New York,59.60%,59.00%,51.40%,"7,721,718","7,640,640","12,948,969","14,876,971",12.40%,"60,347",0,"52,225","86,460","263,787"
