cas_num,com_id,com_nam,rep_typ,rep_yea,fin_amo,off,sta,dis,can_nam,lat_fil_not_fil,pai_yes_no,
"1955","C00432278","AL FRANKEN FOR SENATE","48H","2008","$5,962.00","S","MN","00","FRANKEN, AL","N","Y",
"1292","C00396028","AL GREEN FOR CONGRESS","30G","2004","$6,500.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1346","C00396028","AL GREEN FOR CONGRESS","YE","2004","$3,300.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1556","C00396028","AL GREEN FOR CONGRESS","Q3","2006","$787.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1574","C00396028","AL GREEN FOR CONGRESS","12G","2006","$1,350.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1643","C00396028","AL GREEN FOR CONGRESS","30G","2006","$7,875.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1764","C00396028","AL GREEN FOR CONGRESS","Q3","2007","$7,650.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1770","C00396028","AL GREEN FOR CONGRESS","YE","2007","$1,687.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1794","C00396028","AL GREEN FOR CONGRESS","Q1","2008","$1,215.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"1835","C00396028","AL GREEN FOR CONGRESS","Q2","2008","$10,125.00","H","TX","09","GREEN, ALEXANDER","N","Y",
"2786","C00396028","AL GREEN FOR CONGRESS","12P","2014","$495.00","H","TX","09","GREEN, ALEXANDER","L","Y",
"2906","C00396028","AL GREEN FOR CONGRESS","48H","2014","$17,297.00","H","TX","09","GREEN, ALEXANDER","N","Y",
"451","C00191247","ALASKA DEMOCRATIC PARTY","YE","2000",,"","","","","L","N",
"2267","C00253260","ALASKA REPUBLICAN PARTY","12G","2010","$11,000.00","","","","","N","Y",
"2043","C00444067","ALASKANS FOR CUDDY","YE","2008",,"S","AK","00","CUDDY, DAVID W","N","N",
"1102","C00395079","ALBERT ROBLES FOR CONGRESS","Q1","2004","$1,350.00","H","CA","37","ROBLES, ALBERT","L","Y",
"2630","C00521989","ALEX PIRES FOR U S SENATE","30G","2012","$3,850.00","S","DE","00","PIRES, ALEXANDER J JR","N","Y",
"759","C00369231","ALEXA FOR CONGRESS","Q3","2002","$600.00","H","IN","02","ALEXA, WILLIAM E","L","Y",
"2640","C00471169","ALEXION PHARMACEUTICALS INC PAC","12G","2012","$550.00","","","","","N","Y",
"1536","C00335232","ALLEGHENY ENERGY INC. FEDERAL POLITICAL ACTION COMMITTEE","M9","2006","$500.00","","","","","N","Y",
"1571","C00335232","ALLEGHENY ENERGY INC. FEDERAL POLITICAL ACTION COMMITTEE","M10","2006","$275.00","","","","","L","Y",
"1575","C00335232","ALLEGHENY ENERGY INC. FEDERAL POLITICAL ACTION COMMITTEE","12G","2006","$750.00","","","","","L","Y",
"1121","C00336693","ALLEGIANCE TELECOM, INC. PAC","Q1","2004","$500.00","","","","","L","Y",
"1454","C00415794","ALLEN W MCCULLOCH MD FOR US SENATE","Q1","2006","$1,300.00","S","NM","00","MCCULLOCH, ALLEN WILSON","L","Y",
"1576","C00142489","ALLETE PAC","12G","2006","$600.00","","","","","N","Y",
"2302","C00132092","ALLIANT ENERGY CORPORATION EMPLOYEE'S POLITICAL ACTION COMM","12G","2010","$550.00","","","","","N","Y",
"2881","C00395723","ALSTON & BIRD PAC","12G","2014",,"","","","","N","N",
"2689","C00424788","AMBULATORY SURGERY CENTER ASSOCIATION PAC (ASCAPAC)","YE","2012","$115.00","","","","","L","Y",
"2690","C00436360","AMEDISYS INC POLITICAL ACTION COMMITTEE","YE","2012","$340.00","","","","","L","Y",
"349","C00305797","AMERICA'S FOUNDATION","12G","2000","$3,000.00","","","","","N","Y",
"606","C00305797","AMERICA'S FOUNDATION","Q1","2002","$6,000.00","","","","","L","Y",
"1097","C00184143","AMERICA'S POLITICAL ACTION COMMITTEE, INC.","YE","2003","$2,700.00","","","","","N","Y",
"151","C00324780","AMERICAN ACADEMY OF EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE AAEM PAC","Q3","2000","$525.00","","","","","L","Y",
"260","C00324780","AMERICAN ACADEMY OF EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE AAEM PAC","30G","2000","$775.00","","","","","L","Y",
"538","C00196246","AMERICAN ACADEMY OF OPHTHALMOLOGY INC POLITICAL COMMITTEE (OPHTHPAC)","M12","2001","$1,950.00","","","","","L","Y",
"2791","C00365965","AMERICAN ACADEMY OF PEDIATRIC DENTISTRY POLITICAL ACTION COMMITTEE","Q1","2014","$340.00","","","","","L","Y",
"693","C00283101","AMERICAN AIDS POLITICAL ACTION COMMITTEE","Q2","2002","$1,800.00","","","","","N","Y",
"295","C00168070","AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)","30G","2000","$900.00","","","","","N","Y",
"331","C00168070","AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC)","12G","2000","$1,000.00","","","","","N","Y",
"2303","C00198259","AMERICAN ASSN. FOR MARRIAGE & FAMILY THERAPY COMM. ADVNCMNT OF MARITAL & FAMILY THERAPY","12G","2010","$550.00","","","","","N","Y",
"204","C00176727","AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES","12G","2000","$325.00","","","","","L","Y",
"644","C00176727","AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES","M6","2002","$468.75","","","","","L","Y",
"2268","C00176727","AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES","12G","2010","$115.00","","","","","L","Y",
"1323","C00358903","AMERICAN ASSOCIATION OF NURSE PRACTITIONERS POLITICAL ACTION COMMITTEE","30G","2004","$300.00","","","","","N","Y",
"842","C00331017","AMERICAN ASSOCIATION OF PHYSICIAN SPECIALISTS INC. POLITICIAN ACTION COMMITTEE (AAPSPAC)","12G","2002","$1,000.00","","","","","N","Y",
"934","C00016386","AMERICAN BAKERS ASSOCIATION AMERICAN BAKERS POLITICAL ACTION COMMITTEE","30G","2002","$900.00","","","","","N","Y",
"810","C00004879","AMERICAN BUS ASSOCIATION-BUSPAC POLITICAL ACTION COMMITTEE","12G","2002","$1,000.00","","","","","N","Y",
"2508","C00004879","AMERICAN BUS ASSOCIATION-BUSPAC POLITICAL ACTION COMMITTEE","M2","2012","$145.00","","","","","L","Y",
"843","C00338012","AMERICAN CENTURY COMPANIES INC POLITICAL ACTION COMMITTEE","12G","2002","$1,000.00","","","","","N","Y",
"2691","C00102764","AMERICAN CHIROPRACTIC ASSOCIATION PAC","YE","2012","$215.00","","","","","L","Y",
"2924","C00388157","AMERICAN COMPOSITES MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE","30G","2014","$120.00","","","","","L","Y",
"296","C00322727","AMERICAN CONCRETE PAVEMENT ASSOCIATION PAC (ACPA)","30G","2000","$900.00","","","","","N","Y",
"332","C00322727","AMERICAN CONCRETE PAVEMENT ASSOCIATION PAC (ACPA)","12G","2000","$1,000.00","","","","","N","Y",
"2606","C00130658","AMERICAN CONSERVATIVE UNION","Q3","2012","$1,650.00","","","","","L","Y",
"178","C00000729","AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE","M10","2000","$2,550.00","","","","","L","Y",
"808","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","12G","2002","$1,000.00","","","","","N","Y",
"1697","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","YE","2006","$170.00","","","","","L","Y",
"1766","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","M11","2007","$100.00","","","","","L","Y",
"1824","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","M5","2008","$800.00","","","","","L","Y",
"1831","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","M6","2008","$1,218.00","","","","","L","Y",
"1874","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","M7","2008","$262.00","","","","","L","Y",
"1885","C00038604","AMERICAN FINANCIAL SERVICES ASSOCIATION PAC","M9","2008","$162.00","","","","","L","Y",
"703","C00029348","AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE","M8","2002",,"","","","","N","N",
"709","C00029348","AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITTEE","M9","2002",,"","","","","N","N",
"1438","C00309146","AMERICAN GAMING ASSOCIATION POLITICAL ACTION COMMITTEE","YE","2005","$2,600.00","","","","","L","Y",
"2346","C00309146","AMERICAN GAMING ASSOCIATION POLITICAL ACTION COMMITTEE","30G","2010","$150.00","","","","","L","Y",
"935","C00077362","AMERICAN HOME FURNISHINGS ALLIANCE POLITICAL ACTION COMMITTEE","30G","2002","$900.00","","","","","N","Y",
"209","C00001198","AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC')","12G","2000","$3,000.00","","","","","N","Y",
"1455","C00156935","AMERICAN INTELLECTUAL PROPERTY LAW ASSOCIATION (AIPLA) PAC","Q1","2006","$700.00","","","","","L","Y",
"1957","C00295097","AMERICAN IRON AND STEEL INSTITUTE POLITICAL ACTION COMMITTEE (STEEL PAC)","12G","2008","$500.00","","","","","N","Y",
"179","C00012914","AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC)","M10","2000","$800.00","","","","","L","Y",
"231","C00012914","AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC)","12G","2000","$1,000.00","","","","","N","Y",
"2347","C00120238","AMERICAN MOTORCYCLIST POLITICAL ACTION COMMITTEE","30G","2010","$990.00","","","","","N","Y",
"262","C00255257","AMERICAN MOVING AND STORAGE ASSOCIATION INC POLITICAL ACTION COMMITTEE (AMPAC)","30G","2000","$750.00","","","","","L","Y",
"335","C00255257","AMERICAN MOVING AND STORAGE ASSOCIATION INC POLITICAL ACTION COMMITTEE (AMPAC)","12G","2000","$1,000.00","","","","","N","Y",
"1887","C00135525","AMERICAN NATIONAL INSURANCE COMPANY EMPLOYEE POLITICAL ACTION COMMITTEE","Q3","2008",,"","","","","N","N",
"297","C00327171","AMERICAN NEUROLOGICAL SURGERY POLITICAL ACTION COMMITTEE","30G","2000","$1,800.00","","","","","N","Y",
"336","C00327171","AMERICAN NEUROLOGICAL SURGERY POLITICAL ACTION COMMITTEE","12G","2000","$5,000.00","","","","","N","Y",
"440","C00327171","AMERICAN NEUROLOGICAL SURGERY POLITICAL ACTION COMMITTEE","YE","2000","$275.00","","","","","L","Y",
"259","C00022988","AMERICAN NURSERY AND LANDSCAPE ASSOCIATION - POLITICAL ACTION COMMITTEE","30G","2000","$950.00","","","","","L","Y",
"844","C00022988","AMERICAN NURSERY AND LANDSCAPE ASSOCIATION - POLITICAL ACTION COMMITTEE","12G","2002","$1,000.00","","","","","N","Y",
"906","C00022988","AMERICAN NURSERY AND LANDSCAPE ASSOCIATION - POLITICAL ACTION COMMITTEE","30G","2002","$906.00","","","","","L","Y",
"226","C00113803","AMERICAN OSTEOPATHIC INFORMATION ASSOCIATION - OSTEOPATHIC POLITICAL ACTION COMMITTEE","12G","2000","$2,000.00","","","","","N","Y",
"1255","C00041061","AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE","12G","2004","$900.00","","","","","N","Y",
"1767","C00041061","AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE","M11","2007","$162.00","","","","","L","Y",
"2117","C00041061","AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE","YE","2009","$1,237.00","","","","","N","Y",
"2124","C00041061","AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE","M2","2010","$243.00","","","","","L","Y",
"2270","C00041061","AMERICAN PILOTS' ASSOCIATION POLITICAL ACTION COMMITTEE","12G","2010","$990.00","","","","","N","Y",
"377","C00197715","AMERICAN PISTACHIO GROWERS PISTACHIO POLITICAL ACTION COMMITTEE","12G","2000","$1,000.00","","","","","N","Y",
"1306","C99002396","AMERICAN POLITICAL ACTION COMMITTEE","30G","2004","$1,800.00","","","","","L","Y",
"2926","C99002396","AMERICAN POLITICAL ACTION COMMITTEE","30G","2014","$550.00","","","","","N","Y",
"1995","C00010322","AMERICAN POSTAL WORKERS UNION COMMITTEE ON POLITICAL ACTION","30G","2008","$3,900.00","","","","","L","Y",
"1271","C00373696","AMERICAN PSYCHIATRIC ASSOCIATION POLITICAL ACTION COMMITTEE","12G","2004","$900.00","","","","","N","Y",
"1190","C00161570","AMERICAN PUBLIC POWER ASSOCIATION, PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC","Q3","2004","$600.00","","","","","L","Y",
"2127","C00161570","AMERICAN PUBLIC POWER ASSOCIATION, PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC","Q1","2010","$460.00","","","","","L","Y",
"2305","C00161570","AMERICAN PUBLIC POWER ASSOCIATION, PUBLIC OWNERSHIP OF ELECTRIC RESOURCES PAC","12G","2010","$687.00","","","","","N","Y",
"263","C00358663","AMERICAN RESORT DEVELOPMENT ASSOCIATION RESORT OWNERS COALITION PAC (ARDA-ROC PAC)","30G","2000","$2,350.00","","","","","L","Y",
"337","C00034645","AMERICAN SOCIETY FOR CLINICAL LABORATORY SCIENCE POLITICAL ACTION COMMITTEE (FKA ASMT/PAC)","12G","2000","$1,000.00","","","","","N","Y",
"1888","C00034645","AMERICAN SOCIETY FOR CLINICAL LABORATORY SCIENCE POLITICAL ACTION COMMITTEE (FKA ASMT/PAC)","Q3","2008","$900.00","","","","","N","Y",
"1958","C00034645","AMERICAN SOCIETY FOR CLINICAL LABORATORY SCIENCE POLITICAL ACTION COMMITTEE (FKA ASMT/PAC)","12G","2008","$625.00","","","","","N","Y",
"706","C00351197","AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIAN PAC","M9","2002","$250.00","","","","","L","Y",
"846","C00210666","AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION PAC (ASHA PAC)","12G","2002","$1,000.00","","","","","N","Y",
"936","C00210666","AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION PAC (ASHA PAC)","30G","2002","$1,800.00","","","","","N","Y",
"506","C00336644","AMERICAN SUCCESS POLITICAL ACTION COMMITTEE","MY","2001",,"","","","","L","N",
"629","C00032441","AMERICAN TEXTILE MANUFACTURERS INSTITUTE, INC COMMITTEE FOR GOOD GOVERNMENT","Q1","2002","$900.00","","","","","N","Y",
"1557","C00412718","AMERICANS AGAINST ILLEGAL IMMIGRATION PAC","Q3","2006","$5,950.00","","","","","L","Y",
"1996","C00412718","AMERICANS AGAINST ILLEGAL IMMIGRATION PAC","30G","2008","$1,125.00","","","","","N","Y",
"898","C00379057","AMERICANS FOR COMMON SENSE GOVERNMENT","30G","2002","$2,400.00","","","","","L","Y",
"1256","C00112680","AMERICANS FOR DEMOCRATIC ACTION INC POLITICAL ACTION COMMITTEE","12G","2004","$600.00","","","","","N","Y",
"1327","C00112680","AMERICANS FOR DEMOCRATIC ACTION INC POLITICAL ACTION COMMITTEE","30G","2004","$250.00","","","","","N","Y",
"1379","C00112680","AMERICANS FOR DEMOCRATIC ACTION INC POLITICAL ACTION COMMITTEE","YE","2004","$115.00","","","","","L","Y",
"2495","C00405878","AMERICANS FOR LEGAL IMMIGRATION PAC","MY","2011","$1,910.00","","","","","L","Y",
"2349","C00485821","AMERICANS FOR NEW LEADERSHIP","30G","2010","$4,250.00","","","","","L","Y",
"290","C00214601","AMERICANS FOR SOUND ENERGY POLICY","30G","2000","$1,800.00","","","","","N","Y",
"329","C00214601","AMERICANS FOR SOUND ENERGY POLICY","12G","2000","$1,000.00","","","","","N","Y",
"1889","C00439042","AMERICANS UNITED FOR FREEDOM (AUF) PAC","Q3","2008",,"P","US","00","PAUL, RON","N","N",
"1028","C00113019","AMERICANS UNITED IN SUPPORT OF DEMOCRACY","YE","2002","$900.00","","","","","N","Y",
"1094","C00113019","AMERICANS UNITED IN SUPPORT OF DEMOCRACY","YE","2003","$1,593.00","","","","","L","Y",
"680","C00106740","AMERICAS HEALTH INSURANCE PLANS PAC (AHIP PAC)","Q2","2002","$1,100.00","","","","","L","Y",
"441","C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","YE","2000","$400.00","","","","","L","Y",
"2044","C00446476","AMIT SINGH FOR CONGRESS","YE","2008","$74.00","H","VA","08","SINGH, AMIT KUMAR","N","Y",
"2155","C00467365","AMODEI FOR NEVADA","Q2","2010","$250.00","S","NV","00","AMODEI, MARK EUGENE","N","P",
"1495","C00422972","ANDERSON FOR CONGRESS","Q2","2006","$5,100.00","H","AR","03","ANDERSON, WOODROW WILSON III","L","Y",
"2212","C00458745","ANDRE WILLIAMS FOR CONGRESS","Q3","2010","$1,402.00","H","FL","17","WILLIAMS, ANDRE LEWIS","L","Y",
"2692","C00511980","ANDREI FOR ARIZONA","YE","2012",,"H","AZ","09","CHERNY, ANDREI","N","N",
"2572","C00499491","ANDREW HUGHES FOR CONGRESS","Q3","2012","$990.00","H","WA","07","HUGHES, ANDREW IFITS","N","Y",
"2693","C00499491","ANDREW HUGHES FOR CONGRESS","YE","2012","$256.00","H","WA","07","HUGHES, ANDREW IFITS","L","Y",
"1698","C00413534","ANDY MICHAUD FOR CONGRESS","YE","2006",,"H","FL","24","MICHAUD, ANDY","N","N",
"2882","C00531764","ANN PAC","12G","2014","$1,090.00","","","","","N","Y",
"1959","C00211250","AON CORPORATION POLITICAL ACTION COMMITTEE","12G","2008","$1,400.00","","","","","N","Y",
"809","C00144261","APPRAISAL INSTITUTE PAC (AI PAC)","12G","2002","$1,000.00","","","","","N","Y",
"833","C00340455","AQUA AMERICA, INC. H2O POLITICAL ACTION COMMITTEE","12G","2002","$1,000.00","","","","","N","Y",
"1644","C00416404","ARCH LEADERSHIP PAC","30G","2006","$900.00","","","","","N","Y",
"1699","C00416404","ARCH LEADERSHIP PAC","YE","2006","$900.00","","","","","N","Y",
"1257","C00241380","ARENT FOX LLP PAC (AFPAC)","12G","2004","$600.00","","","","","N","Y",
"1890","C00395988","ARGON ST PAC","Q3","2008","$900.00","","","","","N","Y",
"1142","C00279521","ARIZONA FUND","Q2","2004",,"S","AZ","00","KYL, JON L","L","N",
"2641","C00518191","ARIZONA PIPE TRADES LOCAL 469 PAC","12G","2012","$9,900.00","","","","","N","Y",
"1373","C00395202","ARLETTE MOLINA FOR CONGRESS","YE","2004","$900.00","H","TX","09","MOLINA, ARLETTE MARTHA","N","N",
"2128","C00406041","ARLINGTON COUNTY DEMOCRATIC COMMITTEE JOINT FEDERAL CAMPAIGN","Q1","2010","$210.00","","","","","L","Y",
"1609","C00352054","ARMENIAN AMERICAN PAC (ARMENPAC)","12G","2006","$600.00","","","","","N","Y",
"1577","C00332924","ARMOR HOLDINGS, INC. POLITICAL ACTION COMMITTEE (ARMOR HOLDINGS PAC)","12G","2006","$500.00","","","","","N","Y",
"298","C00226472","ARPAC","30G","2000","$900.00","","","","","N","Y",
"1456","C00226472","ARPAC","Q1","2006","$380.00","","","","","L","Y",
"2792","C00551002","ART GARDNER 2014","Q1","2014","$360.00","S","GA","00","GARDNER, ARTHUR AUGUSTINE","L","Y",
"1496","C00351031","ASIAN AMERICAN ACTION FUND","Q2","2006",,"","","","","L","N",
"2306","C00177741","ASPLUNDH TREE EXPERT CO POLITICAL ACTION COMMITTEE (ATE PAC)","12G","2010","$1,400.00","","","","","N","Y",
"2350","C00177741","ASPLUNDH TREE EXPERT CO POLITICAL ACTION COMMITTEE (ATE PAC)","30G","2010","$185.00","","","","","L","Y",
"2118","C00338020","ASSISTED LIVING FEDERATION OF AMERICA","YE","2009","$2,145.00","","","","","L","Y",
"264","C00082917","ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE","30G","2000","$600.00","","","","","L","Y",
"38","C00280743","ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAILPAC)","Q2","2000","$700.00","","","","","L","Y",
"339","C00280743","ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAILPAC)","12G","2000","$1,000.00","","","","","N","Y",
"608","C00280743","ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAILPAC)","Q1","2002","$1,350.00","","","","","L","Y",
"2642","C00280743","ASSOCIATION OF AMERICAN RAILROADS POLITICAL ACTION COMMITTEE (RAILPAC)","12G","2012","$550.00","","","","","N","Y",
"2398","C00413856","ASSOCIATIONS INC. PAC/ASSOCIA PAC","YE","2010","$260.00","","","","","L","Y",
"2333","C00450916","ASURION LLC POLITICAL ACTION COMMITTEE (ASURION PAC)","12G","2010","$550.00","","","","","N","Y",
"2662","C00450916","ASURION LLC POLITICAL ACTION COMMITTEE (ASURION PAC)","12G","2012","$825.00","","","","","N","Y",
"527","C00185124","AT&T CORP POLITICAL ACTION COMMITTEE","M9","2001","$1,200.00","","","","","L","Y",
"299","C00330514","AUTONATION INC POLITICAL ACTION COMMITTEE","30G","2000","$900.00","","","","","N","Y",
"340","C00330514","AUTONATION INC POLITICAL ACTION COMMITTEE","12G","2000","$1,000.00","","","","","N","Y",
"1610","C00363382","AVAYA INCORPORATED POLITICAL ACTION COMMITTEE","12G","2006","$500.00","","","","","L","Y",
"57","C00113639","AVENTIS PHARMACEUTICALS PRODUCTS INC. POLITICAL ACTION COMMITTEE","M7","2000","$900.00","","","","","N","Y",
"1258","C00161901","AXA EQUITABLE LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE (AXA EQUITABLE PAC)","12G","2004","$3,000.00","","","","","N","Y",
"251","C00351858","AZINGER FOR CONGRESS COMMITTEE","30G","2000","$2,700.00","H","OH","06","AZINGER, MIKE","N","Y",
"391","C00351858","AZINGER FOR CONGRESS COMMITTEE","YE","2000","$350.00","H","OH","06","AZINGER, MIKE","L","Y",
"2509","C00497511","BACHMANN FOR PRESIDENT","M2","2012",,"H","MN","06","BACHMANN, MICHELE","L","N",
